State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
Alabama,CHAMBERS,3217,17583,9576,0,488,0,0,90,7429,842
Alabama,CHEROKEE,2225,10096,6217,0,174,0,0,176,3529,475
Alabama,CHILTON,3283,19155,11171,0,785,0,0,211,6988,815
Alabama,CHOCTAW,977,6795,4236,0,189,0,0,60,2310,347
Alabama,CLARKE,1890,10220,5475,0,368,0,0,187,4190,497
Alabama,CLAY,1211,6974,4100,0,155,0,0,145,2574,366
Alabama,CLEBURNE,1190,4709,2642,0,164,0,0,255,1648,265
Alabama,COFFEE,6219,39646,27816,0,3624,0,0,590,7616,1573
Alabama,COLBERT,4590,24147,16047,0,933,0,0,127,7040,1283
Alabama,CONECUH,1271,6650,4252,0,198,0,0,61,2139,263
Alabama,COOSA,1058,4667,2357,0,114,0,0,7,2189,204
Alabama,COVINGTON,3492,18768,12429,0,671,0,0,252,5416,805
Alabama,CRENSHAW,1137,5935,3583,0,255,0,0,40,2057,282
Alabama,CULLMAN,7741,29028,18298,0,1510,0,0,267,8953,1370
Alabama,DALE,6871,42520,30398,0,3431,0,0,455,8235,1817
Alabama,DALLAS,2973,18079,9413,0,746,0,0,127,7792,930
Alabama,DE KALB,4567,19275,12055,0,673,0,0,95,6453,1004
Alabama,ELMORE,8664,48585,29802,0,4010,0,0,561,14212,1905
Alabama,ESCAMBIA,3131,16107,10053,0,895,0,0,148,5011,853
Alabama,ETOWAH,9292,48810,29755,0,1274,0,0,374,17408,2464
Alabama,FAYETTE,1389,11955,5543,0,294,0,0,65,6053,588
Alabama,FRANKLIN,1804,7935,5337,0,221,0,0,53,2324,419
Alabama,GENEVA,2559,17105,12115,0,598,0,0,276,4116,898
Alabama,GREENE,578,4634,2540,0,130,0,0,7,1957,230
Alabama,HALE,1016,10386,4400,0,218,0,0,167,5601,481
Alabama,HENRY,1808,6865,5101,0,358,0,0,71,1335,445
Alabama,HOUSTON,8961,45358,30719,0,2798,0,0,684,11156,2849
Alabama,JACKSON,4022,14440,8037,0,468,0,0,139,5796,769
Alabama,JEFFERSON,49211,311359,125121,15130,13750,0,5919,3805,147632,14587
Alabama,LAMAR,1333,6439,3763,0,113,0,0,64,2498,459
Alabama,LAUDERDALE,7171,29306,19427,0,1437,0,0,381,8061,1706
Alabama,LAWRENCE,2219,9662,5761,0,322,0,0,174,3405,467
Alabama,LEE,10336,59765,34707,0,7230,0,0,777,17052,2372
Alabama,LIMESTONE,6418,28480,17643,0,2753,0,0,420,7663,1233
Alabama,LOWNDES,703,4536,2350,0,225,0,0,16,1945,209
Alabama,MACON,1625,27313,8839,0,652,0,793,92,16938,936
Alabama,MADISON,31732,135366,87510,0,16154,0,0,2686,29017,6235
Alabama,MARENGO,1580,14938,7252,0,402,0,0,239,7045,678
Alabama,MARION,2355,9955,5557,0,336,0,0,40,4022,622
Alabama,MARSHALL,6359,29280,17498,0,1132,0,0,793,9857,1468
Alabama,MOBILE,34816,150624,84998,36,11695,0,14,2049,51832,8346
Alabama,MONROE,1913,7283,4793,0,384,0,0,38,2068,377
Alabama,MONTGOMERY,20849,178049,77195,0,11495,0,27023,2411,59925,5919
Alabama,MORGAN,9918,36706,23673,0,2343,0,0,534,10156,1752
Alabama,PERRY,645,4756,3209,0,139,0,0,16,1393,166
Alabama,PICKENS,1750,13449,7175,0,406,0,0,26,5843,709
Alabama,PIKE,2248,12605,6839,0,1209,0,0,144,4413,588
Alabama,RANDOLPH,1818,10596,5996,0,263,0,0,114,4223,459
Alabama,RUSSELL,4720,44384,25964,39,4282,0,607,589,12904,1692
Alabama,SAINT CLAIR,7321,28239,14776,0,1357,0,0,291,11814,1447
Alabama,SHELBY,15178,50171,27642,0,4149,0,0,1148,17233,2476
Alabama,SUMTER,804,6049,3355,0,292,0,0,10,2392,266
Alabama,TALLADEGA,6700,29660,16031,0,1187,0,0,185,12256,1690
Alabama,TALLAPOOSA,4088,23471,14355,0,497,0,0,215,8405,1111
Alabama,TUSCALOOSA,13394,120250,40706,696,6628,0,1763,978,69480,4977
Alabama,WALKER,6687,36578,21997,0,819,0,0,203,13559,1690
Alabama,WASHINGTON,1166,5748,3770,0,239,0,0,40,1699,314
Alabama,WILCOX,601,3922,2374,0,141,0,0,17,1390,184
Alabama,WINSTON,2079,10227,5754,0,219,0,0,34,4220,509
Arkansas,ARKANSAS,1343,9573,4189,0,240,0,0,173,4971,501
Arkansas,ASHLEY,1805,9406,4886,0,280,0,0,177,4063,528
Arkansas,BAXTER,6146,27479,15423,0,823,0,0,364,10869,2120
Arkansas,BENTON,18552,75398,34021,0,3618,0,0,964,36795,5864
Arkansas,BOONE,3938,19285,10663,0,558,0,0,221,7842,1373
Arkansas,BRADLEY,1128,5300,2537,0,74,0,0,116,2574,266
Arkansas,CALHOUN,537,2052,1075,0,172,0,0,19,786,108
Arkansas,CARROLL,2592,13411,6938,0,204,0,0,162,6107,1009
Arkansas,CHICOT,765,6528,3069,0,33,0,0,76,3351,343
Arkansas,CLARK,1530,9056,4190,0,377,0,0,138,4352,491
Arkansas,CLAY,1532,10393,5417,0,121,0,0,104,4750,618
Arkansas,CLEBURNE,3928,20547,10854,0,284,0,0,131,9278,1120
Arkansas,CLEVELAND,777,4943,2597,0,167,0,0,21,2157,250
Arkansas,COLUMBIA,1731,8782,4856,0,383,0,0,75,3467,485
Arkansas,CONWAY,1784,13718,5836,0,391,0,0,101,7390,692
Arkansas,CRAIGHEAD,7062,29274,16581,0,2300,0,0,363,10030,1909
Arkansas,CRAWFORD,5868,33037,18462,0,1064,0,0,119,13392,2361
Arkansas,CRITTENDEN,3671,18520,7686,0,745,0,0,161,9929,1074
Arkansas,CROSS,1072,7456,4036,0,234,0,0,18,3169,409
Arkansas,DALLAS,629,3923,1931,0,30,0,0,105,1856,218
Arkansas,DESHA,930,5754,2635,0,155,0,0,63,2901,350
Arkansas,DREW,1816,8634,4090,0,441,0,0,78,4025,477
Arkansas,FAULKNER,8254,57097,27413,0,3369,0,0,483,25831,2545
Arkansas,FRANKLIN,1755,10856,6235,0,288,0,0,47,4287,676
Arkansas,FULTON,1283,8005,4995,0,169,0,0,45,2795,448
Arkansas,GARLAND,10155,59211,28763,0,1637,0,0,642,28169,3796
Arkansas,GRANT,1708,11056,5048,0,346,0,0,91,5572,472
Arkansas,GREENE,3441,21982,11271,0,731,0,0,128,9852,1211
Arkansas,HEMPSTEAD,1520,7612,4328,0,293,0,0,82,2909,455
Arkansas,HOT SPRING,3464,17279,8440,0,387,0,0,115,8336,998
Arkansas,HOWARD,1055,5046,2617,0,204,0,0,95,2129,311
Arkansas,INDEPENDENCE,3379,18236,9553,0,628,0,0,131,7924,887
Arkansas,IZARD,1676,7760,4771,0,211,0,0,40,2739,480
Arkansas,JACKSON,1057,8251,4153,0,183,0,0,56,3859,470
Arkansas,JEFFERSON,7276,50183,25053,0,1949,0,0,219,22962,2385
Arkansas,JOHNSON,1830,12309,6459,0,415,0,0,79,5355,725
Arkansas,LAFAYETTE,692,3164,1371,0,73,0,0,4,1717,207
Arkansas,LAWRENCE,1450,7107,3572,0,208,0,0,59,3269,504
Arkansas,LEE,864,3523,1556,0,51,0,0,3,1913,177
Arkansas,LINCOLN,1290,5414,2705,0,149,0,0,21,2539,264
Arkansas,LITTLE RIVER,966,5528,3185,0,114,0,0,31,2198,370
Arkansas,LOGAN,2162,12496,6922,0,350,0,0,107,5116,892
Arkansas,LONOKE,6786,53296,30071,0,3242,0,0,235,19749,2152
Arkansas,MADISON,1243,8277,3548,0,124,0,0,61,4543,554
Arkansas,MARION,2474,12600,7007,0,282,0,0,354,4958,819
Arkansas,MILLER,3987,14807,8377,0,466,0,0,245,5718,980
Arkansas,MISSISSIPPI,3313,20122,11312,0,784,0,0,100,7926,1051
Arkansas,MONROE,662,5456,2170,0,92,0,0,62,3132,255
Arkansas,MONTGOMERY,1128,7052,4174,0,179,0,0,17,2682,438
Arkansas,NEVADA,858,4645,2549,0,153,0,0,79,1864,231
Arkansas,NEWTON,819,4691,2449,0,75,0,0,4,2162,326
Arkansas,OUACHITA,2666,13812,6704,0,512,0,0,111,6484,801
Arkansas,PERRY,1121,7576,3612,0,111,0,0,20,3833,309
Arkansas,PHILLIPS,1312,9250,4390,0,213,0,0,53,4594,505
Arkansas,PIKE,962,4620,2238,0,51,0,0,42,2289,295
Arkansas,POINSETT,2184,8603,4505,0,297,0,0,35,3766,622
Arkansas,POLK,2311,18441,9736,0,372,0,0,128,8204,1073
Arkansas,POPE,5114,25704,13212,0,1533,0,0,551,10408,1423
Arkansas,PRAIRIE,915,5129,2499,0,78,0,0,16,2536,276
Arkansas,PULASKI,33817,351832,133582,7308,13839,0,38751,2626,155726,12151
Arkansas,RANDOLPH,1674,11127,6359,0,350,0,0,58,4360,618
Arkansas,SAINT FRANCIS,1968,9169,4515,0,298,0,0,129,4227,529
Arkansas,SALINE,10620,52277,24022,0,2394,0,0,589,25272,2970
Arkansas,SCOTT,1021,7113,3105,0,117,0,0,15,3875,482
Arkansas,SEARCY,904,6595,3691,0,65,0,0,119,2720,373
Arkansas,SEBASTIAN,9538,58730,31976,817,2895,0,828,635,21579,4161
Arkansas,SEVIER,1249,6133,3398,0,129,0,0,24,2582,341
Arkansas,SHARP,2124,13448,7787,0,233,0,0,112,5316,847
Arkansas,STONE,1477,10247,6395,0,155,0,0,66,3632,506
Arkansas,UNION,3505,17203,8492,0,539,0,0,238,7934,1095
Arkansas,VAN BUREN,2363,13351,7941,0,254,0,0,95,5061,685
Arkansas,WASHINGTON,13546,107593,31953,22144,4608,0,4768,720,43400,5268
Arkansas,WHITE,6597,40592,22445,0,1712,0,0,231,16205,1987
Arkansas,WOODRUFF,614,3042,1820,0,53,0,0,2,1168,140
Arkansas,YELL,1379,9535,4707,0,201,0,0,31,4596,522
Arizona,APACHE,4801,19828,12153,0,1006,0,0,76,6593,970
Arizona,COCHISE,19028,133006,79660,0,10820,0,0,1442,41084,6724
Arizona,COCONINO,9727,30528,16216,0,4730,0,0,353,9228,1555
Arizona,GILA,6878,22372,12234,0,493,0,0,337,9308,1622
Arizona,GRAHAM,3180,12420,5843,0,452,0,0,101,6024,784
Arizona,GREENLEE,736,3872,1475,0,96,0,0,24,2277,260
Arizona,LA PAZ,3880,10625,5399,0,167,0,0,59,4999,748
Arizona,MARICOPA,303495,1173230,503114,3121,147332,0,93953,20483,405228,53636
Arizona,MOHAVE,26928,101450,52668,0,2803,0,0,1103,44876,7557
Arizona,NAVAJO,8260,33806,21250,0,1194,0,0,255,11108,1924
Arizona,PIMA,99781,510295,217078,2207,38361,0,2599,9295,240755,27081
Arizona,PINAL,25661,73470,17507,0,4809,0,0,1029,50125,7230
Arizona,SANTA CRUZ,1703,10321,5212,0,505,0,0,150,4455,619
Arizona,YAVAPAI,26396,199513,67883,2629,9131,0,1590,1741,116539,11690
Arizona,YUMA,16275,62644,36745,0,7642,0,0,545,17713,3572
California,ALAMEDA,66785,330637,111588,48,25730,0,32495,5631,155146,11809
California,ALPINE,122,247,106,0,21,0,0,6,113,16
California,AMADOR,4471,14021,7029,0,465,0,0,240,6286,723
California,BUTTE,18815,81921,46027,0,7824,0,0,1274,26795,4940
California,CALAVERAS,5777,19895,9363,0,623,0,0,576,9334,1391
California,COLUSA,1404,3798,1963,0,150,0,0,98,1587,214
California,CONTRA COSTA,62510,252186,98472,5516,17004,0,9870,6335,114990,10329
California,DEL NORTE,3093,16019,10954,0,416,0,0,122,4527,874
California,EL DORADO,15625,56097,30904,0,3124,0,0,1462,20607,2818
California,FRESNO,47513,252144,94218,9197,16755,0,3623,2643,125708,12176
California,GLENN,1702,6124,3580,0,401,0,0,156,1987,440
California,HUMBOLDT,11501,58787,30433,0,2939,0,0,626,24789,4643
California,IMPERIAL,6933,30556,14018,0,3848,0,0,208,12481,1672
California,INYO,1543,5301,2618,0,109,0,0,131,2443,325
California,KERN,46451,160298,87819,0,17060,0,0,2897,52523,8013
California,KINGS,10543,44666,24101,0,7643,0,0,1058,11864,1870
California,LAKE,7545,37905,19024,0,751,0,0,350,17780,1932
California,LASSEN,3775,12692,6516,0,693,0,0,76,5407,739
California,LOS ANGELES,345792,1640877,498346,64034,171123,0,47885,31461,828028,68948
California,MADERA,9223,38661,17527,0,1756,0,0,538,18840,2055
California,MARIN,15722,46637,18697,0,2584,0,0,2540,22816,2030
California,MARIPOSA,2367,9333,4935,0,207,0,0,127,4064,560
California,MENDOCINO,7531,45317,22922,0,876,0,0,479,21040,2295
California,MERCED,12957,55090,27576,663,3606,0,1395,1048,20801,2849
California,MODOC,837,5461,2900,0,116,0,0,94,2352,363
California,MONO,832,2139,996,0,91,0,0,35,1016,149
California,MONTEREY,22703,128060,69959,0,8845,0,0,2623,46634,6050
California,NAPA,9071,33405,20135,0,1613,0,0,791,10866,1799
California,NEVADA,11285,36576,20931,0,1862,0,0,845,12938,2273
California,ORANGE,139719,423976,186104,0,64363,0,0,14608,158901,20437
California,PLACER,32493,94717,51594,0,9760,0,0,2454,30908,4918
California,PLUMAS,2414,11192,5499,0,309,0,0,174,5209,685
California,RIVERSIDE,130084,600643,288906,55,69758,0,6946,9555,225424,30918
California,SACRAMENTO,98675,424894,211600,0,42352,0,0,7602,163340,18935
California,SAN BENITO,3039,13273,6297,0,734,0,0,92,6150,717
California,SAN BERNARDINO,117188,518903,222885,1475,49374,0,4858,5470,234841,25364
California,SAN DIEGO,234959,1437610,627730,7264,291780,0,50259,23530,437047,52203
California,SAN FRANCISCO,27679,242765,52569,9522,14472,0,10843,3062,152297,7358
California,SAN JOAQUIN,37436,155429,72092,0,10420,0,0,2158,70759,7886
California,SAN LUIS OBISPO,22626,59771,34642,0,5427,0,0,2230,17472,4357
California,SAN MATEO,31953,183605,44886,0,10808,0,2561,4698,120652,6636
California,SANTA BARBARA,26608,84192,44365,0,9804,0,0,3507,26516,4877
California,SANTA CLARA,69487,408730,102889,38713,22433,0,18969,6925,218802,13913
California,SANTA CRUZ,14042,59692,26832,0,3274,0,0,1217,28369,3194
California,SHASTA,18107,104817,59382,0,4478,0,0,1220,39736,6249
California,SIERRA,357,1817,918,0,72,0,0,6,820,106
California,SISKIYOU,4611,18330,10880,0,561,0,0,407,6482,1462
California,SOLANO,39655,201540,121874,0,20880,0,0,3262,55524,7475
California,SONOMA,33245,123399,54940,0,8589,0,0,4001,55869,5968
California,STANISLAUS,27018,120776,59237,0,8607,0,0,1824,51108,6128
California,SUTTER,6963,30584,20280,0,2907,0,0,597,6799,1279
California,TEHAMA,6411,29572,15476,0,1135,0,0,229,12731,1901
California,TRINITY,1550,8394,4870,0,141,0,0,161,3222,527
California,TULARE,18404,87412,46990,0,6675,0,0,940,32807,5145
California,TUOLUMNE,7183,30804,14875,0,839,0,0,630,14460,2140
California,VENTURA,51789,147295,71137,0,22144,0,0,4543,49470,7673
California,YOLO,8533,43217,22227,0,6568,0,0,902,13521,1852
California,YUBA,5303,32087,18968,0,4307,0,0,215,8597,1320
Colorado,ADAMS,29363,109627,50496,0,15534,0,0,1309,42288,5048
Colorado,ALAMOSA,1144,5678,3279,0,382,0,0,50,1967,369
Colorado,ARAPAHOE,46936,168116,84261,0,24482,0,0,3872,55501,7224
Colorado,ARCHULETA,1472,6078,2869,0,159,0,0,90,2960,547
Colorado,BACA,363,1029,577,0,0,0,0,1,451,98
Colorado,BENT,477,5057,3034,0,54,0,0,2,1966,248
Colorado,BOULDER,18735,41989,21950,0,7684,0,0,1812,10543,1732
Colorado,BROOMFIELD,2809,10009,4908,0,2084,0,0,228,2789,432
Colorado,CHAFFEE,2161,6340,3441,0,292,0,0,197,2410,449
Colorado,CHEYENNE,135,457,226,0,0,0,0,97,134,37
Colorado,CLEAR CREEK,1037,2095,1269,0,46,0,0,131,649,133
Colorado,CONEJOS,624,3367,2301,0,71,0,0,26,970,252
Colorado,COSTILLA,314,2859,1748,0,22,0,0,31,1058,178
Colorado,CROWLEY,616,2600,1464,0,32,0,0,10,1093,134
Colorado,CUSTER,608,2469,1610,0,59,0,0,16,784,164
Colorado,DELTA,3678,17972,7685,0,268,0,0,296,9723,1176
Colorado,DENVER,33690,259836,75687,19805,18480,0,35439,3330,107094,8092
Colorado,DOLORES,188,732,430,0,44,0,0,0,259,55
Colorado,DOUGLAS,20668,50437,27174,0,9177,0,0,1890,12196,1999
Colorado,EAGLE,2474,2907,1500,0,157,0,0,247,1004,202
Colorado,ELBERT,3174,6878,4077,0,732,0,0,282,1787,298
Colorado,EL PASO,77269,438973,290410,0,78394,0,0,4374,65795,14258
Colorado,FREMONT,7329,25512,16282,0,1030,0,0,317,7884,1384
Colorado,GARFIELD,3846,9852,4283,0,497,0,0,210,4863,781
Colorado,GILPIN,584,1384,703,0,96,0,0,12,573,86
Colorado,GRAND,1350,2439,1228,0,79,0,0,18,1114,183
Colorado,GUNNISON,1301,3028,1544,0,320,0,0,110,1053,189
Colorado,HINSDALE,81,229,167,0,0,0,0,0,61,14
Colorado,HUERFANO,1039,5504,3808,0,111,0,0,65,1520,326
Colorado,JACKSON,167,488,220,0,13,0,0,3,251,35
Colorado,JEFFERSON,48331,172932,62734,272,27744,0,33086,4264,44831,6029
Colorado,KIOWA,133,451,244,0,24,0,0,0,183,31
Colorado,KIT CARSON,631,1790,718,0,60,0,0,12,1000,202
Colorado,LAKE,517,1470,639,0,87,0,0,33,712,83
Colorado,LA PLATA,4462,13464,7087,0,725,0,0,255,5398,938
Colorado,LARIMER,23017,81981,39039,0,11064,0,0,2070,29808,4292
Colorado,LAS ANIMAS,1556,8523,5642,0,209,0,0,28,2644,557
Colorado,LINCOLN,637,1346,758,0,47,0,0,38,503,71
Colorado,LOGAN,1952,4740,2188,0,275,0,0,143,2134,335
Colorado,MESA,15137,96843,31546,3323,3391,0,1226,707,56649,5635
Colorado,MINERAL,128,236,111,0,8,0,0,0,117,29
Colorado,MOFFAT,1431,3826,1401,0,149,0,0,17,2259,295
Colorado,MONTEZUMA,2858,7829,4446,0,206,0,0,225,2953,620
Colorado,MONTROSE,4236,17470,7257,0,335,0,0,366,9513,1242
Colorado,MORGAN,2010,5978,2894,0,178,0,0,112,2794,416
Colorado,OTERO,2144,16612,11441,0,350,0,0,55,4765,608
Colorado,OURAY,512,799,364,0,35,0,0,16,384,88
Colorado,PARK,2514,6460,3982,0,384,0,0,20,2074,304
Colorado,PHILLIPS,352,983,379,0,34,0,0,20,550,96
Colorado,PITKIN,1078,1395,799,0,41,0,0,51,504,116
Colorado,PROWERS,735,4020,2334,0,157,0,0,22,1507,288
Colorado,PUEBLO,16774,100796,56462,0,4897,0,0,1176,38260,4866
Colorado,RIO BLANCO,576,2020,930,0,107,0,0,9,973,137
Colorado,RIO GRANDE,1202,5958,3321,0,124,0,0,131,2381,377
Colorado,ROUTT,1819,2904,1413,0,103,0,0,116,1273,210
Colorado,SAGUACHE,574,1745,1209,0,34,0,0,24,478,130
Colorado,SAN JUAN,113,104,57,0,0,0,0,0,47,18
Colorado,SAN MIGUEL,660,694,311,0,45,0,0,26,312,72
Colorado,SEDGWICK,328,1031,519,0,2,0,0,18,492,99
Colorado,SUMMIT,1624,2009,1130,0,211,0,0,101,567,130
Colorado,TELLER,3387,11843,8307,0,1005,0,0,165,2365,543
Colorado,WASHINGTON,446,1106,522,0,15,0,0,2,568,98
Colorado,WELD,15099,53620,24731,0,6829,0,0,1057,21003,3307
Colorado,YUMA,735,1764,961,0,25,0,0,24,753,130
Connecticut,FAIRFIELD,44756,118942,38001,0,9131,0,0,6291,65519,8985
Connecticut,HARTFORD,56410,196981,71193,1,22184,0,9472,7109,87022,12966
Connecticut,LITCHFIELD,15409,36185,15316,0,2450,0,0,1057,17362,3330
Connecticut,MIDDLESEX,13435,36643,14637,0,2711,0,0,1205,18090,2590
Connecticut,NEW HAVEN,52715,298785,77101,2190,21994,0,4782,4928,187790,14879
Connecticut,NEW LONDON,26044,83242,37947,0,17444,0,0,2732,25120,4858
Connecticut,TOLLAND,11384,26343,11222,0,3085,0,0,831,11205,1909
Connecticut,WINDHAM,9582,31936,13445,0,6898,0,0,558,11034,1801
District of Columbia,DISTRICT OF COLUMBIA,37268,1940233,64135,133978,17653,0,1538076,3200,183190,9413
Delaware,KENT,17983,75361,43333,0,10190,0,0,1046,20793,3294
Delaware,NEW CASTLE,39424,151592,57070,5650,10527,0,4609,2408,71328,7065
Delaware,SUSSEX,20840,53305,28581,0,2133,0,0,1295,21295,3537
Florida,ALACHUA,16682,226240,42890,60688,11329,0,12407,1535,97390,6666
Florida,BAKER,2684,11106,4543,0,444,0,0,76,6044,608
Florida,BAY,22554,110878,75232,0,11559,0,0,1859,22228,4816
Florida,BRADFORD,3343,18335,6597,0,507,0,0,81,11150,950
Florida,BREVARD,71034,317787,196143,0,21492,0,0,5940,94211,19528
Florida,BROWARD,108384,394497,174536,0,38535,0,0,9644,171781,23986
Florida,CALHOUN,1107,5837,3275,0,120,0,0,76,2366,375
Florida,CHARLOTTE,25335,86389,48979,0,1945,0,0,2045,33419,6271
Florida,CITRUS,21656,98791,47620,0,2071,0,0,1519,47581,7812
Florida,CLAY,27728,124802,72843,0,17486,0,0,1509,32964,5088
Florida,COLLIER,33618,67282,37545,0,3890,0,0,3234,22613,5971
Florida,COLUMBIA,7689,77681,24983,0,1235,0,0,340,51123,3244
Florida,DE SOTO,2966,10747,5197,0,126,0,0,97,5327,723
Florida,DIXIE,1913,16443,6098,0,169,0,0,102,10073,841
Florida,DUVAL,90505,381888,200949,0,70382,0,0,7335,103222,18448
Florida,ESCAMBIA,45828,210815,133096,1430,22846,0,1042,3626,48775,9796
Florida,FLAGLER,10692,41893,24537,0,2995,0,0,945,13416,3031
Florida,FRANKLIN,1355,4092,2079,0,64,0,0,114,1835,368
Florida,GADSDEN,3702,18503,9126,0,835,0,0,343,8199,1258
Florida,GILCHRIST,1605,13994,5148,0,336,0,0,52,8458,664
Florida,GLADES,1163,4131,2029,0,126,0,0,73,1904,228
Florida,GULF,1688,6185,3820,0,176,0,0,108,2080,388
Florida,HAMILTON,1222,9236,3246,0,83,0,0,3,5904,480
Florida,HARDEE,1744,6201,2655,0,227,0,0,37,3282,386
Florida,HENDRY,2407,8508,3559,0,301,0,0,38,4611,609
Florida,HERNANDO,22985,123640,71316,0,5226,0,0,1758,45339,7683
Florida,HIGHLANDS,12386,50527,25684,0,1384,0,0,482,22978,3748
Florida,HILLSBOROUGH,94958,751857,257124,96009,57370,0,10794,6928,323632,27648
Florida,HOLMES,2261,12618,8859,0,331,0,0,56,3371,577
Florida,INDIAN RIVER,16461,55477,29210,0,1755,0,0,2530,21981,4514
Florida,JACKSON,5228,25003,14416,0,834,0,0,223,9529,1506
Florida,JEFFERSON,1518,6764,3356,0,377,0,0,95,2935,448
Florida,LAFAYETTE,681,3553,1127,0,47,0,0,3,2376,195
Florida,LAKE,36639,132684,71218,0,6047,0,0,2809,52610,10133
Florida,LEE,61969,194219,98793,0,12141,0,0,5206,78079,16281
Florida,LEON,18255,73588,34512,0,11689,0,0,1434,25953,4609
Florida,LEVY,4515,38882,13839,0,774,0,0,127,24142,2180
Florida,LIBERTY,591,2540,1468,0,57,0,0,38,976,154
Florida,MADISON,1948,10189,4074,0,190,0,0,62,5863,568
Florida,MANATEE,35157,114784,59227,0,5595,0,0,3553,46408,8972
Florida,MARION,40907,203777,91298,0,5946,0,0,3600,102933,14829
Florida,MARTIN,17653,58270,27044,0,1477,0,0,1753,27997,5238
Florida,MIAMI-DADE,63109,421654,142123,1426,49220,0,6644,4941,217300,16786
Florida,MONROE,9861,40511,16553,0,4230,0,0,552,19175,2434
Florida,NASSAU,8719,27052,15042,0,2165,0,0,408,9437,1589
Florida,OKALOOSA,34634,155583,114348,0,17335,0,0,3263,20637,5300
Florida,OKEECHOBEE,3385,19674,7739,0,338,0,0,118,11479,1454
Florida,ORANGE,76095,364726,176135,0,46106,0,16,5614,136856,19295
Florida,OSCEOLA,17234,96644,50408,0,7767,0,0,1131,37338,5223
Florida,PALM BEACH,115494,449727,164097,12969,21794,0,6889,16182,227796,34177
Florida,PASCO,49061,291596,132913,0,14058,0,0,3098,141527,17322
Florida,PINELLAS,98720,778783,240994,44407,34769,0,108515,8457,341641,31931
Florida,POLK,51200,231981,111157,0,11454,0,0,3920,105451,13767
Florida,PUTNAM,7743,52859,19999,0,1070,0,0,533,31256,2993
Florida,SAINT JOHNS,18031,61892,34105,54,4931,0,10,2023,20768,4276
Florida,SAINT LUCIE,24344,118656,56674,0,5401,0,0,1862,54720,8573
Florida,SANTA ROSA,23200,107574,72994,0,11628,0,0,2006,20946,4329
Florida,SARASOTA,45211,138152,76356,0,5425,0,0,5051,51320,11943
